plot_id,group,species,abundance,elevation,soil_moisture,soil_depth (cm),conifer proportion (%),slope,proportion of visible sky,pH,water_holding_capacity (%),organic_matter_content (%),NO3,NH4,Ca,K,P,Al
E1T1N1,Random,Erythronium,347,716.8800049,58.25,17.125,0,10,10.78,3.84,0.570011025,0.265944143,158.2914088,29.93048269,666.2298676,411.432019,6.807224516,28.6353569
E1T1N1,Random,Dicentra,0,716.8800049,58.25,17.125,0,10,10.78,3.84,0.570011025,0.265944143,158.2914088,29.93048269,666.2298676,411.432019,6.807224516,28.6353569
E1T1N1,Random,Trillium,9,716.8800049,58.25,17.125,0,10,10.78,3.84,0.570011025,0.265944143,158.2914088,29.93048269,666.2298676,411.432019,6.807224516,28.6353569
E1T1N1,Random,Veratrum,28,716.8800049,58.25,17.125,0,10,10.78,3.84,0.570011025,0.265944143,158.2914088,29.93048269,666.2298676,411.432019,6.807224516,28.6353569
E1T1N2,Random,Claytonia,1248,741.75,35.5,21.75,0,16,15.57,4.37,0.544035674,0.183704842,223.8,24,501.6,393.7,10.61,23.74
E1T1N2,Random,Erythronium,552,741.75,35.5,21.75,0,16,15.57,4.37,0.544035674,0.183704842,223.8,24,501.6,393.7,10.61,23.74
E1T1N2,Random,Dicentra,0,741.75,35.5,21.75,0,16,15.57,4.37,0.544035674,0.183704842,223.8,24,501.6,393.7,10.61,23.74
E1T1N2,Random,Trillium,12,741.75,35.5,21.75,0,16,15.57,4.37,0.544035674,0.183704842,223.8,24,501.6,393.7,10.61,23.74
E1T1N2,Random,Veratrum,0,741.75,35.5,21.75,0,16,15.57,4.37,0.544035674,0.183704842,223.8,24,501.6,393.7,10.61,23.74
E1T1N3,Random,Claytonia,364,749.8999634,39,1.5,0,17,11.01,4.28,0.590909091,0.228205128,170.0391225,30.63233808,529.5919644,347.9624445,6.618391432,24.18820327
E1T1N3,Random,Erythronium,608,749.8999634,39,1.5,0,17,11.01,4.28,0.590909091,0.228205128,170.0391225,30.63233808,529.5919644,347.9624445,6.618391432,24.18820327
E1T1N3,Random,Dicentra,0,749.8999634,39,1.5,0,17,11.01,4.28,0.590909091,0.228205128,170.0391225,30.63233808,529.5919644,347.9624445,6.618391432,24.18820327
E1T1N3,Random,Trillium,7,749.8999634,39,1.5,0,17,11.01,4.28,0.590909091,0.228205128,170.0391225,30.63233808,529.5919644,347.9624445,6.618391432,24.18820327
E1T1N3,Random,Veratrum,0,749.8999634,39,1.5,0,17,11.01,4.28,0.590909091,0.228205128,170.0391225,30.63233808,529.5919644,347.9624445,6.618391432,24.18820327
E1T1N4,Random,Claytonia,416,723.3499756,37.75,8.625,0,17,5.82,4.12,0.635304659,0.203685423,172.5,23.8,724.5,474.5,6.3,41.24
E1T1N4,Random,Erythronium,139,723.3499756,37.75,8.625,0,17,5.82,4.12,0.635304659,0.203685423,172.5,23.8,724.5,474.5,6.3,41.24
E1T1N4,Random,Dicentra,0,723.3499756,37.75,8.625,0,17,5.82,4.12,0.635304659,0.203685423,172.5,23.8,724.5,474.5,6.3,41.24
E1T1N4,Random,Trillium,7,723.3499756,37.75,8.625,0,17,5.82,4.12,0.635304659,0.203685423,172.5,23.8,724.5,474.5,6.3,41.24
E1T1N4,Random,Veratrum,12,723.3499756,37.75,8.625,0,17,5.82,4.12,0.635304659,0.203685423,172.5,23.8,724.5,474.5,6.3,41.24
E1T1N5,Random,Claytonia,912,710.2799683,24.75,18,0,15,6.56,4.72,0.612970711,0.285886127,70.8,45.1,784.6,468,9.47,13.74
E1T1N5,Random,Erythronium,244,710.2799683,24.75,18,0,15,6.56,4.72,0.612970711,0.285886127,70.8,45.1,784.6,468,9.47,13.74
E1T1N5,Random,Dicentra,20,710.2799683,24.75,18,0,15,6.56,4.72,0.612970711,0.285886127,70.8,45.1,784.6,468,9.47,13.74
E1T1N5,Random,Trillium,2,710.2799683,24.75,18,0,15,6.56,4.72,0.612970711,0.285886127,70.8,45.1,784.6,468,9.47,13.74
E1T1N5,Random,Veratrum,0,710.2799683,24.75,18,0,15,6.56,4.72,0.612970711,0.285886127,70.8,45.1,784.6,468,9.47,13.74
E1T2N1,Random,Claytonia,13,738.2699585,33.5,12.125,0,11,12.03,4.3,0.607310216,0.356060606,151.3185888,40.85495996,528.0820177,568.5563995,6.898891787,26.1865019
E1T2N1,Random,Erythronium,198,738.2699585,33.5,12.125,0,11,12.03,4.3,0.607310216,0.356060606,151.3185888,40.85495996,528.0820177,568.5563995,6.898891787,26.1865019
E1T2N1,Random,Dicentra,0,738.2699585,33.5,12.125,0,11,12.03,4.3,0.607310216,0.356060606,151.3185888,40.85495996,528.0820177,568.5563995,6.898891787,26.1865019
E1T2N1,Random,Trillium,11,738.2699585,33.5,12.125,0,11,12.03,4.3,0.607310216,0.356060606,151.3185888,40.85495996,528.0820177,568.5563995,6.898891787,26.1865019
E1T2N1,Random,Veratrum,0,738.2699585,33.5,12.125,0,11,12.03,4.3,0.607310216,0.356060606,151.3185888,40.85495996,528.0820177,568.5563995,6.898891787,26.1865019
E1T2N2,Random,Claytonia,19,745.9500122,51.25,15.625,0,22,5.87,4.17,0.565217391,0.247942755,130.1258144,32.17087641,530.0642789,490.4408308,5.644493305,30.67654702
E1T2N2,Random,Erythronium,206,745.9500122,51.25,15.625,0,22,5.87,4.17,0.565217391,0.247942755,130.1258144,32.17087641,530.0642789,490.4408308,5.644493305,30.67654702
E1T2N2,Random,Dicentra,0,745.9500122,51.25,15.625,0,22,5.87,4.17,0.565217391,0.247942755,130.1258144,32.17087641,530.0642789,490.4408308,5.644493305,30.67654702
E1T2N2,Random,Trillium,10,745.9500122,51.25,15.625,0,22,5.87,4.17,0.565217391,0.247942755,130.1258144,32.17087641,530.0642789,490.4408308,5.644493305,30.67654702
E1T2N2,Random,Veratrum,22,745.9500122,51.25,15.625,0,22,5.87,4.17,0.565217391,0.247942755,130.1258144,32.17087641,530.0642789,490.4408308,5.644493305,30.67654702
E1T2N3,Random,Claytonia,0,738.8699951,36.25,20.625,0,21,8.74,4.55,0.611814346,0.394393999,217.2,66.5,465.1,778.5,13.85,19.22
E1T2N3,Random,Erythronium,1046,738.8699951,36.25,20.625,0,21,8.74,4.55,0.611814346,0.394393999,217.2,66.5,465.1,778.5,13.85,19.22
E1T2N3,Random,Dicentra,0,738.8699951,36.25,20.625,0,21,8.74,4.55,0.611814346,0.394393999,217.2,66.5,465.1,778.5,13.85,19.22
E1T2N3,Random,Trillium,9,738.8699951,36.25,20.625,0,21,8.74,4.55,0.611814346,0.394393999,217.2,66.5,465.1,778.5,13.85,19.22
E1T2N3,Random,Veratrum,0,738.8699951,36.25,20.625,0,21,8.74,4.55,0.611814346,0.394393999,217.2,66.5,465.1,778.5,13.85,19.22
E1T2N4,Random,Claytonia,47,742.4400024,19.75,5.25,0,21,12.04,4.43,0.587374199,0.266233766,188.1725299,36.00652611,497.2224865,434.694893,11.44226777,22.05450083
E1T2N4,Random,Erythronium,1536,742.4400024,19.75,5.25,0,21,12.04,4.43,0.587374199,0.266233766,188.1725299,36.00652611,497.2224865,434.694893,11.44226777,22.05450083
E1T2N4,Random,Dicentra,0,742.4400024,19.75,5.25,0,21,12.04,4.43,0.587374199,0.266233766,188.1725299,36.00652611,497.2224865,434.694893,11.44226777,22.05450083
E1T2N4,Random,Trillium,2,742.4400024,19.75,5.25,0,21,12.04,4.43,0.587374199,0.266233766,188.1725299,36.00652611,497.2224865,434.694893,11.44226777,22.05450083
E1T2N4,Random,Veratrum,24,742.4400024,19.75,5.25,0,21,12.04,4.43,0.587374199,0.266233766,188.1725299,36.00652611,497.2224865,434.694893,11.44226777,22.05450083
E1T2N5,Random,Claytonia,0,748.3999634,37.75,19.25,0,11,6.53,4.05,0.628091873,0.316546763,69.6,26.9,545.9,857.2,3.46,30.47
E1T2N5,Random,Erythronium,1168,748.3999634,37.75,19.25,0,11,6.53,4.05,0.628091873,0.316546763,69.6,26.9,545.9,857.2,3.46,30.47
E1T2N5,Random,Dicentra,0,748.3999634,37.75,19.25,0,11,6.53,4.05,0.628091873,0.316546763,69.6,26.9,545.9,857.2,3.46,30.47
E1T2N5,Random,Trillium,9,748.3999634,37.75,19.25,0,11,6.53,4.05,0.628091873,0.316546763,69.6,26.9,545.9,857.2,3.46,30.47
E1T2N5,Random,Veratrum,0,748.3999634,37.75,19.25,0,11,6.53,4.05,0.628091873,0.316546763,69.6,26.9,545.9,857.2,3.46,30.47
E1T3N1,Random,Claytonia,40,698.1599731,40.25,7.125,3,14,8.98,4.48,0.673989455,0.675907258,53.2,16.7,897.9,328.2,0.81,5.15
E1T3N1,Random,Erythronium,61,698.1599731,40.25,7.125,3,14,8.98,4.48,0.673989455,0.675907258,53.2,16.7,897.9,328.2,0.81,5.15
E1T3N1,Random,Dicentra,0,698.1599731,40.25,7.125,3,14,8.98,4.48,0.673989455,0.675907258,53.2,16.7,897.9,328.2,0.81,5.15
E1T3N1,Random,Trillium,9,698.1599731,40.25,7.125,3,14,8.98,4.48,0.673989455,0.675907258,53.2,16.7,897.9,328.2,0.81,5.15
E1T3N1,Random,Veratrum,0,698.1599731,40.25,7.125,3,14,8.98,4.48,0.673989455,0.675907258,53.2,16.7,897.9,328.2,0.81,5.15
E1T3N2,Random,Claytonia,10,714.6499634,37.5,9.625,1,13,6.25,4.8,0.543153049,0.272661611,78.3,18.4,547.7,494.3,2.12,34.63
E1T3N2,Random,Erythronium,161,714.6499634,37.5,9.625,1,13,6.25,4.8,0.543153049,0.272661611,78.3,18.4,547.7,494.3,2.12,34.63
E1T3N2,Random,Dicentra,0,714.6499634,37.5,9.625,1,13,6.25,4.8,0.543153049,0.272661611,78.3,18.4,547.7,494.3,2.12,34.63
E1T3N2,Random,Trillium,22,714.6499634,37.5,9.625,1,13,6.25,4.8,0.543153049,0.272661611,78.3,18.4,547.7,494.3,2.12,34.63
E1T3N2,Random,Veratrum,0,714.6499634,37.5,9.625,1,13,6.25,4.8,0.543153049,0.272661611,78.3,18.4,547.7,494.3,2.12,34.63
E1T3N3,Random,Claytonia,0,731.0999756,34.75,6.125,25,25,10.65,4.45,0.6349065,0.288994169,139.7349499,33.1017895,579.3697497,394.4261841,6.537435294,28.43706063
E1T3N3,Random,Erythronium,348,731.0999756,34.75,6.125,25,25,10.65,4.45,0.6349065,0.288994169,139.7349499,33.1017895,579.3697497,394.4261841,6.537435294,28.43706063
E1T3N3,Random,Dicentra,0,731.0999756,34.75,6.125,25,25,10.65,4.45,0.6349065,0.288994169,139.7349499,33.1017895,579.3697497,394.4261841,6.537435294,28.43706063
E1T3N3,Random,Trillium,2,731.0999756,34.75,6.125,25,25,10.65,4.45,0.6349065,0.288994169,139.7349499,33.1017895,579.3697497,394.4261841,6.537435294,28.43706063
E1T3N3,Random,Veratrum,0,731.0999756,34.75,6.125,25,25,10.65,4.45,0.6349065,0.288994169,139.7349499,33.1017895,579.3697497,394.4261841,6.537435294,28.43706063
E1T3N4,Random,Claytonia,36,713.8999634,33,2.5,5,9,9.47,4.57,0.694117647,0.447694038,154.6386906,31.21071613,804.6988508,400.8779958,4.087980495,27.82600048
E1T3N4,Random,Erythronium,152,713.8999634,33,2.5,5,9,9.47,4.57,0.694117647,0.447694038,154.6386906,31.21071613,804.6988508,400.8779958,4.087980495,27.82600048
E1T3N4,Random,Dicentra,11,713.8999634,33,2.5,5,9,9.47,4.57,0.694117647,0.447694038,154.6386906,31.21071613,804.6988508,400.8779958,4.087980495,27.82600048
E1T3N4,Random,Trillium,3,713.8999634,33,2.5,5,9,9.47,4.57,0.694117647,0.447694038,154.6386906,31.21071613,804.6988508,400.8779958,4.087980495,27.82600048
E1T3N4,Random,Veratrum,46,713.8999634,33,2.5,5,9,9.47,4.57,0.694117647,0.447694038,154.6386906,31.21071613,804.6988508,400.8779958,4.087980495,27.82600048
E1T3N5,Random,Claytonia,1,716.1699829,32.5,14.5,20,14,9.27,3.88,0.684462151,0.657478719,88.83528218,31.86520889,595.8829756,398.9403458,3.837346873,20.89172148
E1T3N5,Random,Erythronium,1156,716.1699829,32.5,14.5,20,14,9.27,3.88,0.684462151,0.657478719,88.83528218,31.86520889,595.8829756,398.9403458,3.837346873,20.89172148
E1T3N5,Random,Dicentra,0,716.1699829,32.5,14.5,20,14,9.27,3.88,0.684462151,0.657478719,88.83528218,31.86520889,595.8829756,398.9403458,3.837346873,20.89172148
E1T3N5,Random,Trillium,0,716.1699829,32.5,14.5,20,14,9.27,3.88,0.684462151,0.657478719,88.83528218,31.86520889,595.8829756,398.9403458,3.837346873,20.89172148
E1T3N5,Random,Veratrum,0,716.1699829,32.5,14.5,20,14,9.27,3.88,0.684462151,0.657478719,88.83528218,31.86520889,595.8829756,398.9403458,3.837346873,20.89172148
E1T4N1,Random,Claytonia,130,702.289978,44.25,10,0,17,3.18,4.44,0.517291066,0.281649616,138.7131546,22.54146709,623.8665748,368.2644336,4.134188809,30.25342205
E1T4N1,Random,Erythronium,99,702.289978,44.25,10,0,17,3.18,4.44,0.517291066,0.281649616,138.7131546,22.54146709,623.8665748,368.2644336,4.134188809,30.25342205
E1T4N1,Random,Dicentra,2,702.289978,44.25,10,0,17,3.18,4.44,0.517291066,0.281649616,138.7131546,22.54146709,623.8665748,368.2644336,4.134188809,30.25342205
E1T4N1,Random,Trillium,18,702.289978,44.25,10,0,17,3.18,4.44,0.517291066,0.281649616,138.7131546,22.54146709,623.8665748,368.2644336,4.134188809,30.25342205
E1T4N1,Random,Veratrum,0,702.289978,44.25,10,0,17,3.18,4.44,0.517291066,0.281649616,138.7131546,22.54146709,623.8665748,368.2644336,4.134188809,30.25342205
E1T4N2,Random,Claytonia,0,723.7299805,58.25,11.625,3,17,6.27,4.03,0.672222222,0.412678937,130.9,41.2,429,540.9,4.28,54.72
E1T4N2,Random,Erythronium,1556,723.7299805,58.25,11.625,3,17,6.27,4.03,0.672222222,0.412678937,130.9,41.2,429,540.9,4.28,54.72
E1T4N2,Random,Dicentra,0,723.7299805,58.25,11.625,3,17,6.27,4.03,0.672222222,0.412678937,130.9,41.2,429,540.9,4.28,54.72
E1T4N2,Random,Trillium,1,723.7299805,58.25,11.625,3,17,6.27,4.03,0.672222222,0.412678937,130.9,41.2,429,540.9,4.28,54.72
E1T4N2,Random,Veratrum,0,723.7299805,58.25,11.625,3,17,6.27,4.03,0.672222222,0.412678937,130.9,41.2,429,540.9,4.28,54.72
E1T4N3,Random,Claytonia,100,741.2600098,42.75,2.5,5,12,7.02,4.4,0.531990521,0.28884395,199.2,20.5,818.2,373,4.6,38.64
E1T4N3,Random,Erythronium,203,741.2600098,42.75,2.5,5,12,7.02,4.4,0.531990521,0.28884395,199.2,20.5,818.2,373,4.6,38.64
E1T4N3,Random,Dicentra,0,741.2600098,42.75,2.5,5,12,7.02,4.4,0.531990521,0.28884395,199.2,20.5,818.2,373,4.6,38.64
E1T4N3,Random,Trillium,13,741.2600098,42.75,2.5,5,12,7.02,4.4,0.531990521,0.28884395,199.2,20.5,818.2,373,4.6,38.64
E1T4N3,Random,Veratrum,0,741.2600098,42.75,2.5,5,12,7.02,4.4,0.531990521,0.28884395,199.2,20.5,818.2,373,4.6,38.64
E1T4N4,Random,Claytonia,496,718.6699829,51.25,12,100,12,7.3,4.78,0.689533861,0.555469356,229.1,9.5,2122.2,93.8,6.45,19.98
E1T4N4,Random,Erythronium,180,718.6699829,51.25,12,100,12,7.3,4.78,0.689533861,0.555469356,229.1,9.5,2122.2,93.8,6.45,19.98
E1T4N4,Random,Dicentra,12,718.6699829,51.25,12,100,12,7.3,4.78,0.689533861,0.555469356,229.1,9.5,2122.2,93.8,6.45,19.98
E1T4N4,Random,Trillium,12,718.6699829,51.25,12,100,12,7.3,4.78,0.689533861,0.555469356,229.1,9.5,2122.2,93.8,6.45,19.98
E1T4N4,Random,Veratrum,0,718.6699829,51.25,12,100,12,7.3,4.78,0.689533861,0.555469356,229.1,9.5,2122.2,93.8,6.45,19.98
E1T4N5,Random,Claytonia,644,695.6699829,22.75,17.25,0,18,4.4,4.53,0.566693614,0.216968011,127.7783905,30.2789638,646.6287983,416.7437612,5.931144917,26.22154081
E1T4N5,Random,Erythronium,520,695.6699829,22.75,17.25,0,18,4.4,4.53,0.566693614,0.216968011,127.7783905,30.2789638,646.6287983,416.7437612,5.931144917,26.22154081
E1T4N5,Random,Dicentra,0,695.6699829,22.75,17.25,0,18,4.4,4.53,0.566693614,0.216968011,127.7783905,30.2789638,646.6287983,416.7437612,5.931144917,26.22154081
E1T4N5,Random,Trillium,0,695.6699829,22.75,17.25,0,18,4.4,4.53,0.566693614,0.216968011,127.7783905,30.2789638,646.6287983,416.7437612,5.931144917,26.22154081
E1T4N5,Random,Veratrum,0,695.6699829,22.75,17.25,0,18,4.4,4.53,0.566693614,0.216968011,127.7783905,30.2789638,646.6287983,416.7437612,5.931144917,26.22154081
E1T5N1,Random,Claytonia,13,699.0499878,42.25,6.775,0,17,3.21,5.06,0.582534611,0.226723525,115.442672,26.98864123,698.5706596,367.2327494,4.539145004,25.92915368
E1T5N1,Random,Erythronium,103,699.0499878,42.25,6.775,0,17,3.21,5.06,0.582534611,0.226723525,115.442672,26.98864123,698.5706596,367.2327494,4.539145004,25.92915368
E1T5N1,Random,Dicentra,0,699.0499878,42.25,6.775,0,17,3.21,5.06,0.582534611,0.226723525,115.442672,26.98864123,698.5706596,367.2327494,4.539145004,25.92915368
E1T5N1,Random,Trillium,3,699.0499878,42.25,6.775,0,17,3.21,5.06,0.582534611,0.226723525,115.442672,26.98864123,698.5706596,367.2327494,4.539145004,25.92915368
E1T5N1,Random,Veratrum,0,699.0499878,42.25,6.775,0,17,3.21,5.06,0.582534611,0.226723525,115.442672,26.98864123,698.5706596,367.2327494,4.539145004,25.92915368
E1T5N2,Random,Claytonia,1180,725.1300049,36.5,2.875,0,8,8.8,5.04,0.6,0.256238361,93.4,37.2,1226.6,186.2,5.02,26.39
E1T5N2,Random,Erythronium,57,725.1300049,36.5,2.875,0,8,8.8,5.04,0.6,0.256238361,93.4,37.2,1226.6,186.2,5.02,26.39
E1T5N2,Random,Dicentra,20,725.1300049,36.5,2.875,0,8,8.8,5.04,0.6,0.256238361,93.4,37.2,1226.6,186.2,5.02,26.39
E1T5N2,Random,Trillium,21,725.1300049,36.5,2.875,0,8,8.8,5.04,0.6,0.256238361,93.4,37.2,1226.6,186.2,5.02,26.39
E1T5N2,Random,Veratrum,0,725.1300049,36.5,2.875,0,8,8.8,5.04,0.6,0.256238361,93.4,37.2,1226.6,186.2,5.02,26.39
E1T5N3,Random,Claytonia,11,721.7299805,30.25,2.25,1,19,7.04,4.45,0.669483568,0.340469329,301.7,26,942.3,238.5,9.19,22.06
E1T5N3,Random,Erythronium,261,721.7299805,30.25,2.25,1,19,7.04,4.45,0.669483568,0.340469329,301.7,26,942.3,238.5,9.19,22.06
E1T5N3,Random,Dicentra,0,721.7299805,30.25,2.25,1,19,7.04,4.45,0.669483568,0.340469329,301.7,26,942.3,238.5,9.19,22.06
E1T5N3,Random,Trillium,9,721.7299805,30.25,2.25,1,19,7.04,4.45,0.669483568,0.340469329,301.7,26,942.3,238.5,9.19,22.06
E1T5N3,Random,Veratrum,0,721.7299805,30.25,2.25,1,19,7.04,4.45,0.669483568,0.340469329,301.7,26,942.3,238.5,9.19,22.06
E1T5N4,Random,Claytonia,114,700.0199585,40.25,1.25,10,14,12.28,4.78,0.739271255,0.872611465,79.42226161,30.06834075,808.5118158,347.0977284,2.860027787,13.81723482
E1T5N4,Random,Erythronium,17,700.0199585,40.25,1.25,10,14,12.28,4.78,0.739271255,0.872611465,79.42226161,30.06834075,808.5118158,347.0977284,2.860027787,13.81723482
E1T5N4,Random,Dicentra,0,700.0199585,40.25,1.25,10,14,12.28,4.78,0.739271255,0.872611465,79.42226161,30.06834075,808.5118158,347.0977284,2.860027787,13.81723482
E1T5N4,Random,Trillium,6,700.0199585,40.25,1.25,10,14,12.28,4.78,0.739271255,0.872611465,79.42226161,30.06834075,808.5118158,347.0977284,2.860027787,13.81723482
E1T5N4,Random,Veratrum,0,700.0199585,40.25,1.25,10,14,12.28,4.78,0.739271255,0.872611465,79.42226161,30.06834075,808.5118158,347.0977284,2.860027787,13.81723482
E1T5N5,Random,Claytonia,43,743.6300049,32.75,7.5,15,16,6.47,4.21,0.571734475,0.489177489,128.3935895,38.50407387,455.8932303,445.8985561,6.674838115,20.15822091
E1T5N5,Random,Erythronium,896,743.6300049,32.75,7.5,15,16,6.47,4.21,0.571734475,0.489177489,128.3935895,38.50407387,455.8932303,445.8985561,6.674838115,20.15822091
E1T5N5,Random,Dicentra,0,743.6300049,32.75,7.5,15,16,6.47,4.21,0.571734475,0.489177489,128.3935895,38.50407387,455.8932303,445.8985561,6.674838115,20.15822091
E1T5N5,Random,Trillium,15,743.6300049,32.75,7.5,15,16,6.47,4.21,0.571734475,0.489177489,128.3935895,38.50407387,455.8932303,445.8985561,6.674838115,20.15822091
E1T5N5,Random,Veratrum,0,743.6300049,32.75,7.5,15,16,6.47,4.21,0.571734475,0.489177489,128.3935895,38.50407387,455.8932303,445.8985561,6.674838115,20.15822091
E1T6N1,Random,Claytonia,183,725.0499878,45.5,5.5,0,26,6.89,4.29,0.520576132,0.225319006,137.7801771,28.66400658,603.4176581,436.261088,5.692308643,29.07641097
E1T6N1,Random,Erythronium,97,725.0499878,45.5,5.5,0,26,6.89,4.29,0.520576132,0.225319006,137.7801771,28.66400658,603.4176581,436.261088,5.692308643,29.07641097
E1T6N1,Random,Dicentra,0,725.0499878,45.5,5.5,0,26,6.89,4.29,0.520576132,0.225319006,137.7801771,28.66400658,603.4176581,436.261088,5.692308643,29.07641097
E1T6N1,Random,Trillium,10,725.0499878,45.5,5.5,0,26,6.89,4.29,0.520576132,0.225319006,137.7801771,28.66400658,603.4176581,436.261088,5.692308643,29.07641097
E1T6N1,Random,Veratrum,0,725.0499878,45.5,5.5,0,26,6.89,4.29,0.520576132,0.225319006,137.7801771,28.66400658,603.4176581,436.261088,5.692308643,29.07641097
E1T6N2,Random,Claytonia,3,743.5599976,32.25,4.5,60,18,6.68,4.78,0.703888335,0.864751646,57.1,58.6,528.9,798.4,9.94,8.85
E1T6N2,Random,Erythronium,227,743.5599976,32.25,4.5,60,18,6.68,4.78,0.703888335,0.864751646,57.1,58.6,528.9,798.4,9.94,8.85
E1T6N2,Random,Dicentra,6,743.5599976,32.25,4.5,60,18,6.68,4.78,0.703888335,0.864751646,57.1,58.6,528.9,798.4,9.94,8.85
E1T6N2,Random,Trillium,7,743.5599976,32.25,4.5,60,18,6.68,4.78,0.703888335,0.864751646,57.1,58.6,528.9,798.4,9.94,8.85
